Location,ISO3166-1numericcode,xPosdata,yPosdata,Year1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Burundi,108,100,100,2309,2532,2787,3079,3457,3677,4127,4774,5613,6239,6767,7934,9461,11179,13126,15177,17357,19777,22505,25505,28668,31911,35235,38681,42249,45868,49450,52934,56315,59560,62662
Comoros,174,200,200,156,173,189,205,228,256,309,358,415,480,548,619,699,788,883,981,1081,1184,1290,1397,1502,1605,1705,1801,1892,1978,2058,2131,2197,2255,2307
Djibouti,262,300,300,62,70,84,115,160,224,359,423,588,661,723,778,831,888,947,1003,1054,1097,1133,1163,1186,1203,1212,1214,1210,1201,1189,1176,1161,1145,1126
Eritrea,232,400,400,1142,1259,1408,1589,1805,2070,2384,2756,3139,3164,3535,4191,4690,5228,5892,6585,7311,8077,8870,9660,10421,11150,11845,12504,13122,13685,14190,14636,15020,15345,15616
Ethiopia,231,500,500,18128,19947,22151,25014,28415,32569,35240,40776,48057,57237,66444,76608,87562,99391,111971,125044,138297,151431,164270,176663,188455,199466,209459,218270,225774,231879,236555,239847,241853,242731,242644
Kenya,404,600,600,6077,6980,8105,9505,11252,13486,16268,19661,23446,27373,31066,35349,40328,46050,52187,58610,65412,72600,80091,87770,95505,103198,110757,118096,125137,131802,137988,143635,148681,153092,156856
Madagascar,450,700,700,4084,4544,5099,5769,6576,7576,8747,9981,11546,13453,15745,18290,21080,24235,27799,31728,35960,40450,45177,50139,55294,60597,65972,71361,76740,82037,87187,92146,96877,101342,105499
Malawi,454,800,800,2954,3252,3619,4059,4604,5293,6163,7206,9409,9823,11193,12748,14770,17215,20022,23134,26584,30331,34360,38651,43155,47810,52546,57304,62024,66667,71182,75529,79657,83511,87056
Mauritius,480,900,900,493,571,660,753,826,892,966,1016,1056,1129,1185,1222,1248,1273,1291,1304,1310,1307,1295,1274,1249,1222,1194,1166,1136,1104,1071,1038,1007,978,952
Mayotte,175,1000,1000,15,19,24,31,37,45,55,72,95,123,150,178,209,240,273,308,344,382,421,460,497,533,567,599,629,657,682,705,724,740,752
Mozambique,508,1100,1100,6313,6832,7493,8303,9262,10405,11936,13103,13372,15913,18265,21127,24321,27978,31993,36462,41437,46896,52777,59009,65544,72293,79139,86003,92783,99401,105777,111842,117539,122818,127648
R_union,638,1200,1200,248,292,336,391,462,485,509,559,611,674,737,792,831,861,892,921,947,967,981,988,989,984,976,966,956,946,935,921,906,888,870
Rwanda,646,1300,1300,2186,2526,2933,3233,3755,4359,5141,6118,7260,5913,8022,9008,10294,11610,12997,14377,15785,17223,18644,19977,21187,22267,23222,24043,24714,25223,25576,25789,25873,25836,25692
Seychelles,690,,,36,39,42,47,52,60,66,70,71,77,81,89,93,96,99,100,101,101,101,101,100,98,96,94,92,90,88,86,84,83,81
